Url,Name,Username,About,Location,Website,Date,Time,Verified,No. of Tweets,Following,Followers,List Counts
https://twitter.com/rajnathsingh,Rajnath Singh,rajnathsingh,"Minister of Home Affairs, Government of India, INDIA",,http://t.co/vi2hmSrn9J,2013-04-12,09:46:07,True,2512,124,4994074,2051
Tweet ID,Retweeted,Date Created,Time Created,No. of Retweets,Likes,No. of hashtags,Hashtag texts,No. of User Mentions,User Mentions Text,Media Type,Source,Is Quote Status,Favorited,Possibly Sensitive,Language
833735536900767744 - id,False,2017-02-20,17:50:16,127,0,0,,1,HMO India,,Twitter for iPad,False,False,,en
833510530417438721 - id,False,2017-02-20,02:56:10,194,1350,0,,0,,,Twitter for iPhone,False,False,,en
833504831553703936 - id,False,2017-02-20,02:33:32,138,927,0,,0,,,Twitter for iPhone,False,False,,en
833504378052939776 - id,False,2017-02-20,02:31:44,206,1308,0,,0,,,Twitter for iPhone,False,False,,en
833501833549131776 - id,False,2017-02-20,02:21:37,155,929,0,,0,,,Twitter for iPhone,False,False,False,en
833188427155791872 - id,False,2017-02-19,05:36:15,168,1268,0,,0,,,Twitter for iPad,False,False,,en
833187552412725249 - id,False,2017-02-19,05:32:47,522,3629,0,,0,,photo,Twitter for iPad,False,False,False,hi
833182118721224705 - id,False,2017-02-19,05:11:11,148,983,0,,0,,,Twitter for iPad,False,False,,en
833176303973044226 - id,False,2017-02-19,04:48:05,536,3076,0,,0,,photo,Twitter for iPad,False,False,False,hi
833167931236347904 - id,False,2017-02-19,04:14:48,282,1423,0,,0,,,Twitter for iPad,False,False,,hi
832827201867378688 - id,False,2017-02-18,05:40:52,182,1120,0,,0,,,Twitter for iPad,False,False,,en
832081531443216384 - id,False,2017-02-16,04:17:51,261,1762,0,,0,,,Twitter for iPad,False,False,,hi
831731526626848768 - id,False,2017-02-15,05:07:03,396,2120,0,,0,,,Twitter for iPhone,False,False,,en
831730862806990848 - id,False,2017-02-15,05:04:25,283,1694,0,,1,ISRO,,Twitter for iPhone,False,False,,en
831723198387453952 - id,False,2017-02-15,04:33:57,166,1162,0,,0,,,Twitter for iPad,False,False,,hi
831720306796539904 - id,False,2017-02-15,04:22:28,289,1368,0,,0,,,Twitter for iPad,False,False,,hi
831385996184928256 - id,False,2017-02-14,06:14:02,332,2073,0,,1,Sushma Swaraj,,Twitter for iPad,False,False,,en
831361139342766081 - id,False,2017-02-14,04:35:16,220,1392,0,,0,,,Twitter for iPad,False,False,,hi
831131162777096193 - id,False,2017-02-13,13:21:25,368,1812,0,,0,,video,Media Studio,False,False,False,hi
